T(℃),P(atm),Cu(g),S(g),Fe(g),SiO2(g),Pb(g),Zn(g),MgO(g),Al2O3(g),Ni(g),Sb(g),Bi(g),CaO(g),As(g),O2(g),matte_Cu_pct,matte_Fe_pct,matte_S_pct,matte_Ni_pct,matte_Zn_pct,matte_Pb_pct,matte_As_pct,matte_mass_g,slag_Cu_pct,slag_FeO_pct,slag_SiO2_pct,slag_FeO_SiO2_ratio,slag_Al2O3_pct,slag_CaO_pct,slag_MgO_pct,slag_ZnO_pct,slag_mass_g,gas_SO2_mol,gas_S2_mol,gas_SO_mol,gas_SSO_mol,gas_SO3_mol,gas_Zn_mol,gas_PbS_mol,gas_CuS_mol,gas_Pb_mol,gas_Sb_mol,gas_As_mol,gas_mass_g
1200.0,1.0,20.125,19.596,18.246,21.729,0.044,0.358,0.624,3.595,0.017,0.156,0.012,2.772,0.009,21.0,78.649,0.70931,20.549,0.051974,0.034181,0.0028326,0.0,25.169,0.8129176979523377,28.145,49.948,0.5634860254664852,9.4652,7.2984,1.6429,1.0939,37.973,0.9969,0.00035957,0.00099179,0.00013372,9.7336e-06,3.0182e-05,1.7476e-06,4.7723e-07,3.1446e-07,4.697e-07,1.2478e-08,28.877
1200.0,1.0,19.332,18.536,24.666,16.63,0.24,0.475,2.947,1.697,0.414,0.075,0.011,0.832,0.016,21.0,72.201,4.3926,21.916,1.1983,0.28697,0.0020231,0.0,26.521,0.41929308267523935,39.845,41.453,0.9612090801630762,5.2309,3.3384,4.0178,1.8096,23.55,0.99332,0.0032155,0.001712,0.00069026,5.5984e-06,9.7051e-05,1.2823e-06,7.5559e-07,7.7159e-08,6.7393e-08,3.5445e-08,25.157
1200.0,1.0,18.371,24.371,18.972,23.029,0.632,3.309,1.453,1.375,0.007,0.07,0.013,0.528,0.152,21.0,60.483,12.192,24.429,0.012582,2.8524,0.014491,0.0,29.734,0.4484432245439933,40.981,39.453,1.0387296276582263,3.046,1.1697,3.2188,6.7391,44.616,0.9785,0.015193,0.0025052,0.0021955,3.7126e-06,0.00050626,7.5394e-06,9.3436e-07,2.087e-07,1.7829e-08,3.2258e-07,32.65
1200.0,1.0,19.343,29.358,23.418,12.947,0.385,1.847,0.649,1.637,0.02,0.043,0.018,0.44,0.307,21.0,48.096,22.565,27.116,0.039589,2.1358,0.016834,0.0,39.578,0.5304135655880914,46.166,34.518,1.337447129034127,4.3644,1.1731,1.7303,3.2913,36.537,0.96196,0.029661,0.0029361,0.0035954,3.0615e-06,0.00027894,1.0073e-05,8.7897e-07,1.9955e-07,8.2112e-09,6.6904e-07,34.653
1200.0,1.0,17.005,12.335,28.578,19.541,0.644,0.726,0.728,1.416,0.2,0.046,0.009,0.368,0.021,21.0,80.18,0.015906,19.671,0.10044,0.0037698,0.0003188,0.0,18.842,10.206990565378435,14.262,49.608,0.28749395258829225,10.014,2.6171,5.1767,4.2979,14.059,0.99909,1.6593e-06,0.00025878,2.3702e-06,3.7468e-05,4.4333e-05,1.038e-07,1.2535e-07,2.7495e-07,4.0301e-06,3.0271e-09,17.002
1200.0,1.0,18.818,15.939,27.37,16.32,0.654,1.388,0.62,1.433,0.009,0.042,0.01,0.641,0.017,21.0,75.521,2.7017,21.263,0.0096553,0.49483,0.0059225,0.0,24.415,0.5882964036620308,39.82,41.956,0.9490895223567546,4.9001,2.1919,2.12,4.8471,29.184,0.99532,0.0018261,0.0014877,0.00045202,6.4685e-06,0.00021029,3.6405e-06,6.8593e-07,2.9068e-07,8.4185e-08,2.8709e-08,21.071
1200.0,1.0,19.837,23.782,20.722,16.603,0.019,0.181,0.626,3.143,0.013,0.088,0.01,0.902,0.011,21.0,65.015,11.21,23.607,0.040423,0.11794,0.0086593,0.0,30.212,0.4255103585156195,46.239,37.15,1.2446567967698519,7.0325,2.0182,1.4007,0.40254,44.306,0.98553,0.0097649,0.0022511,0.0015817,4.1911e-06,2.5166e-05,5.7643e-06,8.9719e-07,1.9903e-07,2.7961e-08,1.4766e-08,32.395
1200.0,1.0,19.109,9.156,22.234,24.202,0.521,0.626,0.577,3.219,0.013,0.164,0.013,3.169,0.019,21.0,81.741,0.0038906,17.893,0.0012794,0.00024791,0.00021981,0.0,0.0,31.436323013488014,2.4014,44.375,0.05411605633802817,5.9008,5.8105,1.0579,1.274,54.532,0.99833,3.2277e-09,5.4326e-05,2.1945e-08,0.00017821,3.5045e-06,1.7445e-09,6.4208e-09,1.0477e-07,5.3187e-07,3.0272e-10,18.492
1200.0,1.0,17.644,25.835,22.364,16.668,0.032,0.123,1.216,3.617,0.108,0.04,0.019,5.36,0.027,21.0,52.875,20.489,26.16,0.31475,0.1505,0.0089728,0.0,33.181,0.20850966804109303,34.383,38.229,0.8993957466844543,8.2959,12.294,2.789,0.20217,43.23,0.97438,0.01966,0.0026663,0.0026582,3.4589e-06,2.3847e-05,6.3141e-06,8.7063e-07,1.5365e-07,1.1041e-08,5.5633e-08,33.014
1200.0,1.0,19.195,26.322,23.916,14.399,0.248,1.119,1.162,1.914,0.322,0.078,0.014,0.343,0.162,21.0,53.854,18.354,25.852,0.80387,1.1193,0.0074273,0.0,35.103,0.5059885533580264,47.901,33.486,1.4304784088872964,4.4511,0.79767,2.7023,2.0848,42.136,0.97383,0.019564,0.0026623,0.0026477,3.4602e-06,0.00017701,4.7502e-06,8.8685e-07,1.1588e-07,1.5604e-08,2.4536e-07,32.514
1200.0,1.0,19.593,21.657,25.005,13.484,0.148,0.421,0.911,1.683,0.133,0.067,0.009,0.629,0.011,21.0,64.016,11.49,23.769,0.37853,0.3387,0.0062772,0.0,30.267,0.4560283010692572,47.58,35.869,1.3264936295965875,4.477,1.6732,2.4234,1.0137,37.196,0.98539,0.0099064,0.0022591,0.0015987,4.1752e-06,7.224e-05,4.1116e-06,8.8721e-07,1.4095e-07,2.596e-08,1.5433e-08,27.993
1200.0,1.0,21.22,20.862,22.779,17.299,0.011,0.482,5.477,0.532,0.662,0.072,0.009,0.227,0.009,21.0,71.366,4.981,22.095,1.2148,0.33715,0.002194,0.0,29.672,0.471456026976029,43.354,39.876,1.0872203831878824,3.4348,2.1471,3.6614,1.9115,8.201,0.9928,0.0037319,0.0017765,0.00077163,5.3896e-06,0.00010733,1.3899e-06,7.7512e-07,7.7629e-08,5.5512e-08,4.2229e-08,28.452
1200.0,1.0,17.958,33.631,24.055,12.383,0.658,2.396,0.334,1.055,0.04,0.061,0.034,0.375,0.901,21.0,39.225,28.37,28.957,0.066413,3.2411,0.024175,0.0,44.874,0.5762526521769517,44.798,33.537,1.3357783940125831,3.4863,1.2392,1.1037,3.8191,29.062,0.9368,0.048515,0.0032768,0.0051317,2.6016e-06,0.00034268,1.3822e-05,8.0598e-07,2.1412e-07,6.5041e-09,2.5956e-06,37.609
1200.0,1.0,17.341,19.489,23.637,21.979,0.191,0.357,1.426,1.708,0.241,0.049,0.011,1.793,0.017,21.0,71.97,5.0991,22.02,0.7794,0.12784,0.0028625,0.0,23.66,0.46800987979593267,43.67,40.937,1.066761120746513,3.1813,3.3396,2.656,0.74806,53.495,0.99298,0.0038081,0.0017856,0.00078348,5.3638e-06,3.9878e-05,1.8468e-06,7.8496e-07,1.0211e-07,4.5407e-08,1.4959e-08,28.052
1200.0,1.0,21.97,28.157,24.523,10.267,0.005,0.254,0.287,2.126,0.01,0.046,0.01,0.761,0.011,21.0,53.092,20.459,26.138,0.02375,0.27714,0.0090317,0.0,41.032,0.5612334901111188,49.337,31.143,1.5842083293195903,6.4488,2.3083,0.87055,0.51701,32.15,0.97447,0.019637,0.0026657,0.002656,3.4604e-06,4.4006e-05,6.2688e-06,8.7407e-07,1.5263e-07,1.1846e-08,1.83e-08,33.036
1200.0,1.0,20.476,20.614,18.825,18.935,0.234,1.047,0.744,3.262,0.015,0.178,0.017,2.762,0.184,21.0,75.254,3.0264,21.32,0.031534,0.32706,0.0056216,0.0,26.877,0.4123652610245301,34.341,44.022,0.7800872291127164,7.5838,6.4213,1.7297,2.689,42.956,0.99377,0.0020732,0.0015344,0.00049676,6.2519e-06,0.00013106,3.5194e-06,7.0509e-07,2.6373e-07,1.3328e-07,2.9354e-07,29.594
1200.0,1.0,20.142,19.815,25.417,12.965,0.273,0.473,0.999,2.06,0.08,0.071,0.01,0.538,0.015,21.0,68.604,8.0708,22.797,0.20371,0.31664,0.0062199,0.0,29.024,0.4240270941365574,44.785,37.935,1.1805720311058387,6.0275,1.5742,2.923,1.3064,33.976,0.98928,0.0065386,0.0020402,0.001173,4.6596e-06,7.9514e-05,3.9982e-06,8.5625e-07,1.6871e-07,3.8022e-08,2.3946e-08,25.797
1200.0,1.0,20.274,22.38,20.124,19.761,0.327,1.846,1.357,2.393,0.169,0.122,0.011,1.764,0.006,21.0,68.81,7.1196,22.684,0.43127,0.94958,0.0049978,0.0,29.027,0.3976569627507163,41.425,39.199,1.05678716293783,4.7469,3.4992,2.6918,3.8474,50.146,0.98981,0.0057257,0.0019741,0.0010621,4.8207e-06,0.00025504,3.0215e-06,8.3143e-07,1.3624e-07,5.0351e-08,7.4559e-09,30.888
1200.0,1.0,20.172,20.338,18.015,22.04,0.148,0.69,2.083,3.364,0.192,0.169,0.019,3.739,0.19,21.0,77.064,1.3654,20.857,0.56298,0.11133,0.0015195,0.0,25.799,0.4932964288210217,30.144,45.873,0.6571185664770126,7.0017,7.7822,4.3355,1.6645,48.023,0.99583,0.00079688,0.0012094,0.00024275,7.9647e-06,6.8721e-05,9.489e-07,5.6988e-07,1.1469e-07,2.6477e-07,2.2004e-07,29.862
